n,P
2.75030676,-20.31072806
2.870263539,-20.70330608
3.25302639,-21.10368437
2.5069599302,-20.7019487805
3.1558608845,-21.9593992530
3.7985290655,-23.8451132749
4.7015886647,-26.1500390125
5.8650396820,-28.8741764660
7.4266956606,-31.4592538216
9.7799138492,-34.2548604090
12.5313369991,-36.9114068985
15.8153160016,-39.2196567819
19.5044252690,-40.6907759572
20.68224273,-40.47391442
25.39672729,-41.44387878
33.6625277,-42.23106387
39.56994121,-42.59756876
45.74130542,-42.89546535
51.91381426,-43.12268881
60.7132392,-43.4286118
68.33118144,-43.66117111
75.55720382,-43.74595374
83.04374302,-43.98023743
88.03591378,-44.0623794
90.93364833,-44.12064627
92.9321649,-42.88955703
93.87030017,-41.77828252
94.54219548,-40.89994776
95.48147538,-39.78388756
96.28820761,-38.76600456
97.22634287,-37.77894945
97.90052744,-36.88036455
98.7084043,-35.89269564
99.11520429,-35.27038295
100.0510503,-34.49750631
